Stream	Treatment	Segment	IND.	TOB	C.T	C.P	P.T	P.EST.	P.EVISC.	PesoTotal(item)	frag.Inseto	frag.InsetoAUT	diptera_Auto	Naucoridae	Coleoptera	Coleoptera_Gorgulho	frag.InsetoALO	Heteroptera_Auto	Hymenoptera	Demaptera	Formiga	Odonata	Frag.Vegetal
P32P22	PALMA	6	HM_49	428	37.79	31.55	0.27	0.00685	0.201	0.00034	0	0	0	0	0	0	0.00034	0	0	0	0	0	0
Palm_22	PALMA	2	HM_37	14	54	45.34	1.10	0.04345	0.944	0.00035	0.00035	0	0	0	0	0	0	0	0	0	0	0	0
Palm_20	PALMA	3	HM_32	179	47.88	39.28	0.64	0.01456	0.491	0.00042	0.00042	0	0	0	0	0	0	0	0	0	0	0	0
PST-TA04	PASTO	5	HM_06	1712	48.71	40.29	0.65	0.02	0.571	0.00047	0	0	0	0	0	0.00047	0	0	0	0	0	0	0
Palm_20	PALMA	3	HM_34	179	17.47	10.54	0.05	0.02206	0.369	0.00049	0.00049	0	0	0	0	0	0	0	0	0	0	0	0
Palm_10	PALMA	9	HM_10	586	29.35	24.69	0.14	0.00892	0.102	0.00049	0	0.00049	0	0	0	0	0	0	0	0	0	0	0
P34F12	FLORESTA	9	HM_42	790	34.12	27.05	0.33	0.01927	0.242	0.0005	0.0005	0	0	0	0	0	0	0	0	0	0	0	0
PST-TA06	PASTO	3	HM_15	1654	49.96	41.94	0.93	0.02491	0.813	0.00051	0.00051	0	0	0	0	0	0	0	0	0	0	0	0
PST-TA01	PASTO	5	HM_01	1517	58.42	48.43	1.48	0.02278	1,350	0.00052	0.00052	0	0	0	0	0	0	0	0	0	0	0	0
PST-TA04	PASTO	3	HM_08	1757	46.27	37.46	0.49	0.00826	0.416	0.00053	0.00053	0	0	0	0	0	0	0	0	0	0	0	0
Palm_03	PALMA	6	HM_06	970	26.03	22.01	0.12	0.00542	0.078	0.00055	0	0	0	0	0	0	0	0	0	0	0	0	0.00055
Palm_10	PALMA	4	HM_11	587	49.05	39.64	0.90	0.05871	0.694	0.00055	0	0	0	0	0	0	0.00055	0	0	0	0	0	0
Palm_03	PALMA	3	HM_01	976	19.38	16.74	0.04	0.00324	0.026	0.00058	0	0	0	0	0	0	0	0	0.00058	0	0	0	0
P32P22	PALMA	2	HM_43	471	47.73	38.96	0.59	0.01433	0.473	0.00067	0	0.00067	0	0	0	0	0	0	0	0	0	0	0
Palm_12	PALMA	4	HM_17	628	60.64	50.99	1.35	0.0298	1,012	0.00068	0	0	0	0	0	0	0	0	0	0	0.00068	0	0
Palm_12	PALMA	5	HM_15	610	50.62	42.17	0.90	0.02665	0.722	0.00071	0	0	0	0	0	0	0	0	0	0	0.00071	0	0
P32P22	PALMA	6	HM_50	428	22.31	18.77	0.07	0.00166	0.038	0.00082	0	0	0	0	0	0	0	0	0	0	0.00082	0	0
PST-TA06	PASTO	7	HM_16	1671	59.28	49.41	1.42	0.03739	1,264	0.00085	0.00085	0	0	0	0	0	0	0	0	0	0	0	0
Palm_03	PALMA	1	HM_03	956	40.41	33.62	0.43	0.0165	0.31	0.00096	0	0	0	0	0	0	0	0	0	0	0.00096	0	0
Palm_20	PALMA	3	HM_31	179	48.49	39.88	0.66	0.01819	0.506	0.00099	0.00099	0	0	0	0	0	0	0	0	0	0	0	0
P1F1	FLORESTA	7	HM_02	1398	62.32	53.04	1.26	0.0524	1,132	0.0012	0	0	0	0.0012	0	0	0	0	0	0	0	0	0
PST-TA06	PASTO	1	HM_20	1591	63.76	53.11	2.04	0.08008	1,699	0.00138	0	0	0	0	0	0	0	0	0	0	0.00138	0	0
PST-TA08	PASTO	3	HM_21	2091	63.36	52.52	1.79	0.0761	1,453	0.00139	0	0	0	0	0	0	0	0	0	0	0.00139	0	0
PST-TA01	PASTO	1	HM_02	1481	59.56	48.89	1.33	0.03072	1,275	0.0015	0.0015	0	0	0	0	0	0	0	0	0	0	0	0
Palm_12	PALMA	4	HM_18	628	50.41	42.41	0.73	0.02408	0.553	0.00163	0	0	0	0	0	0	0.00163	0	0	0	0	0	0
Palm_12	PALMA	6	HM_13	638	58.75	48.97	1.19	0.0182	0.856	0.00175	0	0	0	0	0	0	0	0	0	0.00175	0	0	0
PST-TA03	PASTO	5	HM_04	2020	57.38	47.99	0.88	0.0754	0.72	0.00196	0.00196	0	0	0	0	0	0	0	0	0	0	0	0
P1F1	FLORESTA	7	HM_03	1398	62.56	52.11	1.36	0.04006	1,251	0.0035	0	0	0	0	0	0	0	0	0	0	0.0035	0	0
P6F6	FLORESTA	1	HM_20	2007	40.59	33.82	0.37	0.02729	0.263	0.0045	0	0	0	0	0.0045	0	0	0	0	0	0	0	0
P5F5	FLORESTA	1	HM_12	1621	46.76	38.3	0.43	0.02073	0.36	0.0047	0	0	0	0	0	0	0.0047	0	0	0	0	0	0
PST-TA06	PASTO	6	HM_18	1623	60.42	50.07	1.76	0.12139	1,511	0.00508	0	0	0	0	0	0	0	0	0	0	0.00508	0	0
P2F2	FLORESTA	2	HM_05	2004	49.42	40.69	0.75	0.02076	0.611	0.0056	0	0	0	0	0	0	0	0	0	0	0.0056	0	0
Palm_22	PALMA	4	HM_39	51	54.64	45.57	1.06	0.05012	0.829	0.00803	0	0	0	0	0.00803	0	0	0	0	0	0	0	0
PST-TA05	PASTO	7	HM_10	1793	57.84	49.12	1.29	0.0343	1,143	0.00896	0	0	0	0	0	0	0	0	0	0	0.00896	0	0
PST-TA05	PASTO	6	HM_09	1765	60.4	50.23	1.63	0.04161	1,475	0.01019	0.01019	0	0	0	0	0	0	0	0	0	0	0	0
Palm_12	PALMA	5	HM_14	610	51.63	43.23	0.91	0.0388	0.71	0.01233	0	0	0	0	0	0	0	0	0	0	0.01233	0	0
